Owner:,MAY THOMAS J,
Cname:,NSTAR,
Google Trends Search Term:,Thomas J May,
Google Trends Suggestion:,Chief Executive Officer of NSTAR,
Category:,Reliable,
,,
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,94
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,74
2005,Feb,78
2005,Mar,0
2005,Apr,0
2005,May,68
2005,Jun,70
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,54
2006,Jan,0
2006,Feb,100
2006,Mar,45
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,42
2006,Sep,0
2006,Oct,38
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,47
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,24
2008,Aug,0
2008,Sep,0
2008,Oct,20
2008,Nov,0
2008,Dec,22
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,20
2009,May,20
2009,Jun,0
2009,Jul,20
2009,Aug,0
2009,Sep,19
2009,Oct,36
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,53
2010,Mar,0
2010,Apr,0
2010,May,17
2010,Jun,0
2010,Jul,15
2010,Aug,15
2010,Sep,28
2010,Oct,28
2010,Nov,27
2010,Dec,13
2011,Jan,0
2011,Feb,0
2011,Mar,21
2011,Apr,21
2011,May,0
2011,Jun,21
2011,Jul,21
2011,Aug,0
2011,Sep,20
2011,Oct,9
2011,Nov,9
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,9
2012,May,24
2012,Jun,17
2012,Jul,0
2012,Aug,8
2012,Sep,0
2012,Oct,15
2012,Nov,15
2012,Dec,0
2013,Jan,21
2013,Feb,0
2013,Mar,0
2013,Apr,7
2013,May,7
2013,Jun,14
2013,Jul,14
2013,Aug,14
2013,Sep,0
2013,Oct,0
2013,Nov,0
2013,Dec,7
2014,Jan,0
2014,Feb,7
2014,Mar,13
2014,Apr,0
2014,May,7
2014,Jun,8
2014,Jul,15
2014,Aug,7
2014,Sep,0
2014,Oct,7
2014,Nov,22
2014,Dec,0
2015,Jan,0
2015,Feb,7
2015,Mar,14
2015,Apr,7
2015,May,7
2015,Jun,8
2015,Jul,7
2015,Aug,15
2015,Sep,14
2015,Oct,7
2015,Nov,14
2015,Dec,0
2016,Jan,11
2016,Feb,12
2016,Mar,11
2016,Apr,11
2016,May,0
2016,Jun,12
2016,Jul,0
2016,Aug,0
2016,Sep,6
2016,Oct,11
2016,Nov,22
2016,Dec,5
2017,Jan,0
2017,Feb,0
2017,Mar,0
2017,Apr,0
2017,May,5
2017,Jun,0
2017,Jul,0
2017,Aug,0
2017,Sep,0
2017,Oct,0
2017,Nov,5
2017,Dec,5
2018,Jan,0
2018,Feb,0
2018,Mar,5
2018,Apr,15
2018,May,15
2018,Jun,0
2018,Jul,0
2018,Aug,0
2018,Sep,5
2018,Oct,5
2018,Nov,5
2018,Dec,5
2019,Jan,0
2019,Feb,0
2019,Mar,24
2019,Apr,5
2019,May,5
2019,Jun,0
2019,Jul,0
2019,Aug,0
2019,Sep,9
2019,Oct,0
2019,Nov,0
2019,Dec,0
2020,Jan,4
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,4
2020,Jun,0
2020,Jul,4
2020,Aug,4
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,5
2021,Jan,0
2021,Feb,0
2021,Mar,5
2021,Apr,0
2021,May,5
2021,Jun,5
2021,Jul,0
2021,Aug,5
2021,Sep,5
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,0
2022,Feb,0
2022,Mar,0
